Date,Open,High,Low,Close,Volume,Market Cap
"Jan 01, 2016",430.721008301,436.246002197,427.515014648,434.334014893,36278900,6529299589
"Dec 31, 2015",425.875,432.92098999,418.734985352,430.566986084,45996600,6471217491
"Dec 30, 2015",433.299987793,434.386993408,422.084014893,426.619995117,46889400,6410381455
"Dec 29, 2015",422.097991943,432.983001709,420.62701416,432.983001709,51596500,6504194854
"Dec 28, 2015",423.342987061,429.769012451,418.480987549,422.278991699,49638600,6341733237
"Dec 27, 2015",416.514007568,424.006988525,408.882995605,422.822998047,53591200,6348296234
"Dec 26, 2015",455.756011963,457.489013672,405.760009766,417.273986816,116166000,6262844602
"Dec 25, 2015",454.855010986,458.304992676,452.075012207,455.653015137,39078500,6836936569
"Dec 24, 2015",443.091003418,458.455993652,443.07699585,454.984985352,57157200,6825070740
"Dec 23, 2015",436.720001221,444.528991699,436.618988037,442.401000977,47161400,6634776277
"Dec 22, 2015",437.436004639,443.687988281,435.515991211,436.571990967,50840400,6545633139
"Dec 21, 2015",442.838012695,444.729003906,427.312011719,438.639007568,77639696,6574990256
"Dec 20, 2015",462.234008789,462.644989014,434.338012695,442.684997559,75409400,6633988873
"Dec 19, 2015",463.552001953,465.580993652,456.765014648,462.321990967,47892700,6926346391
"Dec 18, 2015",455.846984863,465.177001953,454.940002441,463.615997314,60220100,6943912954
"Dec 17, 2015",454.777008057,457.859985352,448.858001709,456.07800293,47978400,6829095335
"Dec 16, 2015",465.208007812,465.208007812,443.851013184,454.933990479,107944000,6810202753
"Dec 15, 2015",443.877990723,465.321014404,443.877990723,465.321014404,83121104,6963784692
"Dec 14, 2015",433.272003174,447.141998291,430.455993652,444.182006836,130496000,6645395797
"Dec 13, 2015",431.660003662,441.679992676,426.268005371,433.755004883,55050600,6487293999
"Dec 12, 2015",452.334991455,469.102996826,410.740997314,434.997009277,131969000,6504325267
"Dec 11, 2015",415.281005859,451.937988281,415.281005859,451.937988281,110944000,6755795193
"Dec 10, 2015",417.988006592,419.509002686,411.54800415,415.479003906,52138900,6209105142
"Dec 09, 2015",414.441009521,423.119995117,406.290985107,417.562988281,90917200,6238015413
"Dec 08, 2015",395.753997803,415.562988281,389.950012207,415.562988281,57801400,6206381460
"Dec 07, 2015",389.977996826,399.968994141,385.411010742,395.536010742,63455800,5905560136
"Dec 06, 2015",389.554992676,402.808990479,387.088989258,388.782989502,77762000,5803305524
"Dec 05, 2015",363.721008301,389.785003662,363.229003906,388.949005127,66282200,5804247032
"Dec 04, 2015",361.261993408,363.515991211,355.756988525,363.183013916,35784100,5418154665
"Dec 03, 2015",359.330993652,370.274993896,357.411987305,361.04598999,50714900,5384892776
"Dec 02, 2015",361.845001221,362.231994629,349.464996338,359.187011719,54160500,5355891235
"Dec 01, 2015",377.414001465,378.930999756,356.562988281,362.488006592,60452200,5403653927
"Nov 30, 2015",371.437011719,382.363006592,370.382995605,377.321014404,71701600,5623195997
"Nov 29, 2015",357.471984863,371.938995361,355.665985107,371.294006348,40409300,5531872177
"Nov 28, 2015",357.140991211,359.536010742,352.17199707,357.381011963,36816600,5323252537
"Nov 27, 2015",351.860992432,363.588989258,347.869995117,358.041992188,55179100,5331719786
"Nov 26, 2015",328.303009033,366.756988525,328.229003906,352.683990479,106105000,5250750575
"Nov 25, 2015",320.045013428,329.134002686,316.769989014,328.205993652,41666900,4884886822
"Nov 24, 2015",323.014007568,323.058013916,318.118011475,320.04598999,29362600,4762244474
"Nov 23, 2015",324.350006104,325.118011475,321.290008545,323.04598999,27478900,4805632296
"Nov 22, 2015",326.975006104,327.010009766,321.259002686,324.536010742,23439400,4826466938
"Nov 21, 2015",322.092010498,328.158996582,319.595001221,326.927001953,28200500,4860628038
"Nov 20, 2015",326.411010742,326.472991943,312.217010498,322.022003174,53152900,4786301542
"Nov 19, 2015",334.678985596,335.334014893,325.273010254,326.148986816,45011100,4846272452
"Nov 18, 2015",334.592987061,336.531005859,330.640014648,334.589996338,43783800,4970560298
"Nov 17, 2015",330.361999512,338.350006104,329.614013672,335.093994141,51001600,4976765824
"Nov 16, 2015",319.734985352,331.62600708,315.904998779,330.75100708,47980100,4911040461
"Nov 15, 2015",333.050994873,334.661987305,317.489990234,320.165985107,44213100,4752464063
"Nov 14, 2015",336.62399292,338.180999756,329.970001221,332.906005859,38612000,4940266781
"Nov 13, 2015",338.49798584,340.914001465,326.075012207,336.752990723,52003000,4996160115
"Nov 12, 2015",314.07901001,345.080993652,313.355987549,338.152008057,78477800,5015563456
"Nov 11, 2015",339.820007324,340.584991455,300.997009277,311.084014893,107070000,4612831323
"Nov 10, 2015",379.984008789,381.386993408,329.108001709,336.819000244,95797904,4993021697
"Nov 09, 2015",374.324005127,385.278015137,362.894989014,380.256988525,68224400,5635560843
"Nov 08, 2015",384.278015137,389.894989014,368.700012207,373.368011475,51817600,5532072311
"Nov 07, 2015",374.269012451,390.585998535,372.433013916,386.481994629,56625100,5725035162
